show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s19,Movie,The Lost Promise 19,Fatima Kumar,"David Costa, Maria Müller, Fatima Garcia",India,"May 17, 2026",2025,PG-13,132 min,"Dramas, Comedies",A gripping movie exploring themes of survival and identity in India.
s20,Movie,The Golden City 20,Maria Patel,"Sara Johnson, Maria Silva, Maria Kumar",Germany,"September 23, 2024",2020,PG-13,124 min,"Dramas, Comedies, Independent Movies",A gripping movie exploring themes of survival and identity in Germany.
s21,Movie,The Lost City 21,Aisha Johnson,"Carlos Nair, Wei Costa, Wei Silva, Raj Garcia",India,"January 12, 2018",2016,TV-14,96 min,"Documentaries, Comedies, Romantic Movies",A gripping movie exploring themes of survival and identity in India.
s22,Movie,The Golden Kingdom 22,John Silva,"Elena Tanaka, Hana Nair, Min Lee",South Korea,"July 26, 2017",2015,TV-14,155 min,"Documentaries, Horror Movies, Action & Adventure",A gripping movie exploring themes of survival and identity in South Korea.
s23,TV Show,The Golden Shadows Chronicles 23,,"Sara Müller, Tom Müller, David Kumar, John Khan, Wei Johnson",United States,"April 1, 2013",2012,TV-MA,4 Seasons,"Docuseries, TV Comedies",A gripping tv show exploring themes of survival and identity in United States.
s24,TV Show,The Last Empire 24,,"Hana Khan, Anil Park, Aisha Kumar, Hana Lee, Aisha Smith, David Johnson",Germany,"February 20, 2024",2022,TV-14,7 Seasons,"Romantic TV Shows, TV Action & Adventure, TV Comedies",A gripping tv show exploring themes of survival and identity in Germany.
s25,Movie,The Forgotten Journey 25,Maria Tanaka,"Tom Müller, Wei Johnson, Yuki Silva, Raj Khan, Yuki Tanaka, Aisha Costa",India,"May 17, 2026",2024,TV-MA,109 min,"Thrillers, Romantic Movies, Sci-Fi & Fantasy",A gripping movie exploring themes of survival and identity in India.
s26,Movie,The Golden Kingdom 26,Wei Müller,"Yuki Patel, David Smith, Carlos Müller",Brazil,"November 11, 2021",2017,PG,129 min,"Children & Family Movies, Documentaries",A gripping movie exploring themes of survival and identity in Brazil.
s27,TV Show,The Last Rebellion Chronicles 27,,"Priya Rossi, Aisha Müller, Hana Park, Tom Rossi, Tom Tanaka, Maria Müller, Raj Costa",United States,"April 5, 2024",2020,TV-14,1 Season,Anime Series,A gripping tv show exploring themes of survival and identity in United States.
s28,TV Show,The Secret Legacy Chronicles 28,,"Min Müller, David Costa, Min Johnson, Aisha Nair",United States,"April 6, 2019",2017,TV-MA,8 Season,"Kids' TV, TV Comedies, Anime Series",A gripping tv show exploring themes of survival and identity in United States.
s29,Movie,The Silent Kingdom 29,Fatima Costa,"Elena Müller, Carlos Khan, Min Smith, Yuki Tanaka, Fatima Lee, David Patel, Priya Garcia",India,"December 28, 2017",2012,TV-G,130 min,"Horror Movies, Documentaries",A gripping movie exploring themes of survival and identity in India.
s30,Movie,The Forgotten Rebellion 30,Min Silva,"Hana Nair, Aisha Silva, Raj Nair",United Kingdom,"July 23, 2018",2018,NR,89 min,"Documentaries, Comedies, Thrillers",A gripping movie exploring themes of survival and identity in United Kingdom.
s31,Movie,The Silent Promise 31,Carlos Rossi,"Fatima Silva, Elena Kumar, Tom Lee, Tom Park",Turkey,"August 1, 2021",2019,TV-14,115 min,"Thrillers, Sci-Fi & Fantasy",A gripping movie exploring themes of survival and identity in Turkey.
s32,TV Show,The Endless Dreams Chronicles 32,,"Maria Nair, Min Garcia, Anil Khan, Tom Lee, Hana Rossi, David Lee",United States,"March 20, 2020",2015,NR,1 Seasons,"TV Mysteries, TV Dramas, TV Comedies",A gripping tv show exploring themes of survival and identity in United States.
s33,Movie,The Silent Kingdom 33,,"Anil Lee, Carlos Müller, Priya Costa, Anil Costa, Raj Tanaka, Hana Nair, Raj Johnson",Japan,"July 9, 2023",2023,PG-13,176 min,Children & Family Movies,A gripping movie exploring themes of survival and identity in Japan.
s34,Movie,The Forgotten Memory 34,Min Park,"Sara Garcia, John Costa, Wei Khan, John Johnson, Raj Khan",Japan,"March 16, 2022",2022,TV-MA,155 min,Sci-Fi & Fantasy,A gripping movie exploring themes of survival and identity in Japan.
s35,Movie,The Endless Promise 35,Carlos Smith,"John Costa, Anil Lee, Aisha Müller, Sara Smith, David Kumar",South Korea,"July 13, 2025",2024,TV-MA,161 min,Comedies,A gripping movie exploring themes of survival and identity in South Korea.
s36,Movie,The Forgotten Memory 36,Fatima Johnson,"Elena Rossi, Aisha Nair, Fatima Lee, Carlos Nair, Priya Khan, Min Tanaka, Min Johnson",United States,"February 14, 2023",2022,TV-Y7,116 min,"Children & Family Movies, Action & Adventure, Thrillers",A gripping movie exploring themes of survival and identity in United States.
s37,Movie,The Endless Promise 37,Sara Costa,"David Khan, Fatima Patel, Raj Patel, Hana Smith, Carlos Park",United Kingdom,"July 11, 2026",2024,TV-MA,73 min,"Romantic Movies, Action & Adventure",A gripping movie exploring themes of survival and identity in United Kingdom.
s38,TV Show,The Dark Promise Chronicles 38,,"Yuki Tanaka, Tom Park, Carlos Khan",Mexico,"September 25, 2022",2017,NR,4 Seasons,"Anime Series, TV Mysteries, TV Dramas",A gripping tv show exploring themes of survival and identity in Mexico.
s39,Movie,The Broken Empire 39,Min Khan,"Fatima Tanaka, John Park, Hana Lee, John Park, Wei Tanaka",United States,"September 17, 2026",2025,TV-Y,114 min,"Independent Movies, Romantic Movies",A gripping movie exploring themes of survival and identity in United States.
s40,Movie,The Silent Memory 40,Yuki Tanaka,"Wei Khan, Raj Park, Maria Khan, Anil Kumar, Yuki Park",India,"August 9, 2020",2019,PG,162 min,"Independent Movies, Horror Movies, Comedies",A gripping movie exploring themes of survival and identity in India.
s41,Movie,The Forgotten Dreams 41,Wei Kumar,"Elena Smith, Priya Silva, Elena Smith, Anil Garcia, Maria Costa",Brazil,"August 4, 2024",2024,TV-MA,71 min,"Horror Movies, Children & Family Movies, Independent Movies",A gripping movie exploring themes of survival and identity in Brazil.
s42,TV Show,The Silent Kingdom Chronicles 42,,"Min Khan, Aisha Khan, Anil Johnson, John Costa, Hana Müller, Hana Khan",France,"February 8, 2012",2008,R,2 Seasons,"TV Mysteries, Kids' TV, TV Action & Adventure",A gripping tv show exploring themes of survival and identity in France.
s43,Movie,The Eternal Kingdom 43,Elena Khan,"Carlos Khan, Yuki Park, Min Smith",United States,"March 18, 2023",2021,TV-14,79 min,Dramas,A gripping movie exploring themes of survival and identity in United States.
s44,TV Show,The Forgotten Dreams Chronicles 44,,"Maria Khan, Maria Smith, Anil Garcia, Yuki Johnson",United States,"May 26, 2010",2009,TV-MA,4 Seasons,Reality TV,A gripping tv show exploring themes of survival and identity in United States.
s45,Movie,The Last Kingdom 45,Elena Rossi,"Anil Silva, David Johnson, Fatima Kumar",Spain,"August 4, 2022",2022,TV-PG,129 min,"Horror Movies, Thrillers, Sci-Fi & Fantasy",A gripping movie exploring themes of survival and identity in Spain.
s46,Movie,The Last Legacy 46,Wei Rossi,"Min Khan, Wei Johnson, Aisha Müller, Elena Smith, Elena Lee, Aisha Lee, David Müller",Japan,"November 27, 2019",2017,TV-G,180 min,"Sci-Fi & Fantasy, Dramas, Horror Movies",A gripping movie exploring themes of survival and identity in Japan.
s47,Movie,The Wild Shadows 47,Anil Rossi,"David Khan, David Smith, Tom Nair",Brazil,"June 14, 2021",2020,TV-14,158 min,"Horror Movies, Thrillers",A gripping movie exploring themes of survival and identity in Brazil.
s48,Movie,The Hidden Memory 48,Sara Johnson,"Min Costa, Anil Tanaka, Fatima Patel, Maria Khan, Min Park, Elena Smith",,"November 28, 2017",2016,TV-PG,139 min,"Thrillers, Dramas",A gripping movie exploring themes of survival and identity in United Kingdom.
s49,TV Show,The Secret Kingdom Chronicles 49,,"Aisha Smith, Carlos Nair, John Rossi, John Müller, Maria Rossi, Yuki Patel, Fatima Silva",United States,"October 26, 2026",2025,TV-Y,4 Seasons,"Reality TV, TV Dramas",A gripping tv show exploring themes of survival and identity in United States.
s50,TV Show,The Wild Promise 50,,"Maria Nair, Priya Khan, Aisha Lee, Fatima Nair, Raj Khan, Yuki Nair, Elena Nair",Egypt,"August 18, 2019",2018,TV-PG,3 Seasons,TV Mysteries,A gripping tv show exploring themes of survival and identity in Egypt.
s51,TV Show,The Forgotten City 51,,"Tom Tanaka, Aisha Kumar, David Park, Elena Park, Tom Silva, Maria Rossi, Anil Garcia",United States,"June 11, 2020",2018,TV-MA,7 Seasons,"Kids' TV, TV Mysteries",A gripping tv show exploring themes of survival and identity in United States.
s52,Movie,The Forgotten Empire 52,Raj Park,"Aisha Nair, Maria Smith, Elena Costa, Fatima Lee",India,"February 28, 2021",2019,R,178 min,"Comedies, Independent Movies",A gripping movie exploring themes of survival and identity in India.
s53,Movie,The Golden Shadows 53,Elena Nair,"Anil Johnson, Priya Tanaka, Yuki Tanaka, Priya Silva, John Costa, John Rossi, Wei Park",United States,"July 21, 2024",2022,TV-14,80 min,"Independent Movies, Thrillers",A gripping movie exploring themes of survival and identity in United States.
s54,Movie,The Eternal Kingdom 54,Aisha Garcia,"Aisha Johnson, Wei Garcia, Wei Smith, Tom Johnson",United States,"January 11, 2021",2018,R,171 min,Horror Movies,A gripping movie exploring themes of survival and identity in United States.
s55,TV Show,The Lost Dreams Chronicles 55,,"Raj Costa, Min Khan, Wei Smith, Min Lee, Yuki Müller",India,"August 19, 2020",2018,TV-14,3 Seasons,"Docuseries, Anime Series",A gripping tv show exploring themes of survival and identity in India.
s56,Movie,The Lost Promise 56,John Tanaka,"Sara Johnson, Yuki Park, Yuki Kumar, Tom Khan, Raj Johnson, Anil Johnson",France,"August 28, 2015",2013,TV-14,108 min,Thrillers,A gripping movie exploring themes of survival and identity in France.
s57,TV Show,The Dark Empire Chronicles 57,,"Fatima Müller, Maria Müller, John Müller, Anil Khan, Min Kumar, Sara Park, Maria Smith",Japan,"May 25, 2023",2022,TV-14,4 Seasons,Kids' TV,A gripping tv show exploring themes of survival and identity in Japan.
s58,Movie,The Broken Memory 58,Sara Patel,"Fatima Nair, Wei Khan, Elena Costa, Yuki Park, David Costa, John Rossi, Priya Garcia",United States,"July 6, 2023",2021,TV-14,95 min,Independent Movies,A gripping movie exploring themes of survival and identity in United States.
s59,Movie,The Wild City 59,,"John Rossi, Sara Müller, Fatima Johnson, Tom Nair, Sara Smith, Carlos Rossi, Raj Johnson",Italy,"December 22, 2026",2024,TV-MA,120 min,"Romantic Movies, Comedies, Thrillers",A gripping movie exploring themes of survival and identity in Italy.
s60,Movie,The Secret City 60,Yuki Müller,"John Garcia, Anil Kumar, Yuki Rossi, John Smith, Carlos Patel, Maria Silva",Australia,"October 8, 2020",2019,TV-PG,152 min,Children & Family Movies,A gripping movie exploring themes of survival and identity in Australia.
s61,TV Show,The Eternal City Chronicles 61,,"Aisha Khan, Anil Park, Sara Tanaka, Min Rossi, Carlos Nair, Sara Smith, Sara Patel",United States,"November 24, 2023",2022,PG,7 Seasons,"TV Comedies, Anime Series",A gripping tv show exploring themes of survival and identity in United States.
s62,Movie,The Wild Kingdom 62,Min Smith,"Raj Kumar, David Tanaka, Maria Costa, Hana Smith",,"January 13, 2025",2022,PG-13,105 min,Comedies,A gripping movie exploring themes of survival and identity in India.
s63,TV Show,The Eternal Shadows 63,,"Fatima Nair, Maria Garcia, Fatima Costa",United Kingdom,"October 7, 2018",2018,TV-14,4 Seasons,TV Mysteries,A gripping tv show exploring themes of survival and identity in United Kingdom.
s64,Movie,The Last Promise 64,Wei Khan,"Maria Park, Aisha Patel, John Park",Spain,"March 1, 2022",2017,TV-G,115 min,Sci-Fi & Fantasy,A gripping movie exploring themes of survival and identity in Spain.
s65,TV Show,The Dark Journey Chronicles 65,,"Anil Park, Yuki Rossi, Raj Kumar, Elena Nair, Tom Silva, John Rossi, Min Smith",South Korea,"August 25, 2024",2019,TV-Y7,6 Seasons,"Reality TV, Kids' TV",A gripping tv show exploring themes of survival and identity in South Korea.
s66,Movie,The Endless Empire 66,,"Yuki Rossi, Aisha Smith, John Nair, Hana Silva, Min Tanaka, Aisha Lee, Min Silva",United States,"March 3, 2017",2013,R,86 min,"Sci-Fi & Fantasy, Independent Movies",A gripping movie exploring themes of survival and identity in United States.
s67,Movie,The Silent Storm 67,Elena Smith,"Priya Smith, Aisha Smith, Sara Costa",Egypt,"February 11, 2024",2023,R,124 min,"Horror Movies, Romantic Movies",A gripping movie exploring themes of survival and identity in Egypt.
s68,Movie,The Wild Kingdom 68,Aisha Nair,"Yuki Johnson, Yuki Lee, John Johnson",United States,"January 19, 2020",2019,TV-MA,141 min,"Romantic Movies, Comedies, Thrillers",A gripping movie exploring themes of survival and identity in United States.
s69,Movie,The Lost Dreams 69,Sara Smith,"Carlos Costa, Aisha Nair, Raj Johnson, Fatima Kumar, Wei Khan",,"March 22, 2014",2013,TV-MA,131 min,Comedies,A gripping movie exploring themes of survival and identity in United States.
s70,Movie,The Dark Dreams 70,Tom Smith,"Raj Smith, Hana Silva, Aisha Rossi, David Garcia",Spain,"June 12, 2024",2023,TV-MA,70 min,Action & Adventure,A gripping movie exploring themes of survival and identity in Spain.
s71,Movie,The Golden Kingdom 71,Anil Müller,"Fatima Rossi, Aisha Rossi, Min Silva",India,"December 11, 2023",2022,TV-Y,169 min,"Sci-Fi & Fantasy, Comedies, Dramas",A gripping movie exploring themes of survival and identity in India.
s72,Movie,The Silent Dreams 72,Elena Patel,"Anil Tanaka, Tom Johnson, Anil Kumar, Hana Khan, Hana Costa",United States,"September 4, 2025",2025,TV-PG,114 min,"Comedies, Horror Movies",A gripping movie exploring themes of survival and identity in United States.
s73,Movie,The Dark Journey 73,Wei Garcia,"Carlos Patel, Sara Smith, Tom Nair, Anil Silva, Raj Rossi, Priya Nair",France,"May 11, 2025",2025,TV-MA,85 min,Children & Family Movies,A gripping movie exploring themes of survival and identity in France.
s74,Movie,The Golden Empire 74,David Garcia,"Min Nair, Sara Smith, Aisha Nair, John Tanaka, Aisha Johnson, Tom Patel, Priya Silva",Egypt,"July 19, 2021",2021,TV-PG,121 min,"Thrillers, Horror Movies, Comedies",A gripping movie exploring themes of survival and identity in Egypt.
s75,Movie,The Eternal Horizon 75,John Patel,"Hana Costa, Sara Lee, Maria Tanaka, John Garcia, Fatima Tanaka, Wei Johnson, Maria Costa",Australia,"June 8, 2024",2023,PG,112 min,Comedies,A gripping movie exploring themes of survival and identity in Australia.
s76,Movie,The Hidden City 76,David Nair,"Maria Rossi, Priya Rossi, Min Müller, Yuki Costa, Fatima Johnson",United States,"March 25, 2018",2018,TV-MA,150 min,"Children & Family Movies, Sci-Fi & Fantasy",A gripping movie exploring themes of survival and identity in United States.
s77,Movie,The Forgotten Promise 77,,"Priya Müller, Priya Johnson, Tom Rossi, Anil Rossi, Hana Lee",India,"September 3, 2026",2022,R,109 min,"Children & Family Movies, Dramas",A gripping movie exploring themes of survival and identity in India.
s78,Movie,The Endless Rebellion 78,Priya Patel,"Anil Tanaka, Min Rossi, Wei Lee, Sara Khan",United States,"September 5, 2025",2020,R,77 min,"Comedies, Romantic Movies",A gripping movie exploring themes of survival and identity in United States.
s79,Movie,The Last Journey 79,,"Tom Khan, Fatima Park, Maria Lee",Mexico,"June 22, 2024",2023,TV-G,146 min,Romantic Movies,A gripping movie exploring themes of survival and identity in Mexico.
s80,Movie,The Silent Kingdom 80,Priya Khan,"Tom Müller, David Nair, Maria Müller, Priya Müller, Aisha Patel, Sara Kumar, Sara Khan",India,"November 5, 2022",2021,NR,114 min,"Thrillers, Action & Adventure",A gripping movie exploring themes of survival and identity in India.
s81,Movie,The Silent Legacy 81,,"John Patel, Anil Müller, David Costa, Maria Johnson, Tom Garcia",India,"June 25, 2026",2023,TV-Y,132 min,Documentaries,A gripping movie exploring themes of survival and identity in India.
s82,Movie,The Broken City 82,,"Carlos Rossi, Yuki Costa, Min Tanaka, Carlos Khan, Elena Nair",United States,"December 25, 2024",2022,PG-13,149 min,Children & Family Movies,A gripping movie exploring themes of survival and identity in United States.
s83,Movie,The Last Empire 83,Aisha Garcia,"Maria Nair, Fatima Kumar, Elena Nair, Sara Patel",Brazil,"November 19, 2024",2020,TV-14,126 min,"Horror Movies, Thrillers",A gripping movie exploring themes of survival and identity in Brazil.
s84,TV Show,The Endless Shadows Chronicles 84,,"Min Patel, Maria Nair, Aisha Smith, Carlos Nair, Min Lee",India,"September 28, 2012",2008,PG,2 Seasons,Crime TV Shows,A gripping tv show exploring themes of survival and identity in India.
s85,Movie,The Hidden Dreams 85,Sara Tanaka,"David Smith, David Costa, Maria Garcia",Egypt,"July 17, 2023",2022,TV-PG,117 min,Thrillers,A gripping movie exploring themes of survival and identity in Egypt.
s86,Movie,The Golden Kingdom 86,Raj Smith,"Fatima Tanaka, Maria Patel, Aisha Smith",United Kingdom,"August 23, 2022",2018,TV-PG,176 min,Children & Family Movies,A gripping movie exploring themes of survival and identity in United Kingdom.
s87,Movie,The Silent Dreams 87,Min Smith,"Elena Johnson, Raj Müller, Carlos Park",Egypt,"May 4, 2025",2023,TV-MA,76 min,Thrillers,A gripping movie exploring themes of survival and identity in Egypt.
s88,Movie,The Hidden City 88,Priya Patel,"Priya Patel, Raj Silva, Elena Kumar, Tom Lee, Fatima Park",United States,"July 1, 2022",2021,PG-13,148 min,"Documentaries, Thrillers",A gripping movie exploring themes of survival and identity in United States.
s89,Movie,The Golden Kingdom 89,,"David Nair, Wei Nair, Min Park, Elena Müller, Wei Costa, Maria Smith, Min Kumar",South Korea,"February 12, 2026",2025,PG-13,100 min,"Comedies, Romantic Movies, Action & Adventure",A gripping movie exploring themes of survival and identity in South Korea.
s90,Movie,The Dark Rebellion 90,Tom Nair,"Elena Khan, Anil Costa, Hana Khan, Sara Nair, Anil Nair, David Khan, John Costa",United States,"January 26, 2016",2013,TV-MA,95 min,Romantic Movies,A gripping movie exploring themes of survival and identity in United States.
s91,TV Show,The Last Horizon 91,,"Sara Costa, Fatima Costa, Priya Park, Aisha Smith, Aisha Johnson, Wei Patel",South Korea,"July 24, 2014",2013,TV-MA,8 Seasons,"Crime TV Shows, Anime Series",A gripping tv show exploring themes of survival and identity in South Korea.
s92,Movie,The Silent Journey 92,Min Lee,"Anil Park, Sara Johnson, Aisha Khan, Anil Smith, Tom Lee, Wei Kumar",Mexico,"June 22, 2024",2024,TV-Y7,107 min,"Children & Family Movies, Thrillers",A gripping movie exploring themes of survival and identity in Mexico.
s93,TV Show,The Dark City 93,,"Sara Lee, Tom Johnson, Anil Johnson, Maria Müller",Spain,"November 26, 2020",2019,PG-13,8 Season,TV Comedies,A gripping tv show exploring themes of survival and identity in Spain.
s94,Movie,The Last Dreams 94,Fatima Tanaka,"Raj Park, Wei Rossi, Tom Patel",India,"August 25, 2026",2024,TV-14,79 min,"Action & Adventure, Independent Movies, Romantic Movies",A gripping movie exploring themes of survival and identity in India.
s95,Movie,The Secret Horizon 95,Elena Tanaka,"Maria Nair, Priya Rossi, Wei Park",India,"May 23, 2022",2021,TV-MA,127 min,Sci-Fi & Fantasy,A gripping movie exploring themes of survival and identity in India.
s96,Movie,The Secret Shadows 96,Wei Park,"Sara Patel, Carlos Smith, Hana Costa, Maria Tanaka",Japan,"November 28, 2026",2023,TV-14,110 min,"Romantic Movies, Comedies, Horror Movies",A gripping movie exploring themes of survival and identity in Japan.
s97,Movie,The Endless Rebellion 97,,"Priya Khan, Tom Park, Elena Patel",Mexico,"June 18, 2019",2017,PG,143 min,"Children & Family Movies, Independent Movies",A gripping movie exploring themes of survival and identity in Mexico.
s98,TV Show,The Lost Kingdom 98,,"Sara Garcia, Wei Costa, Maria Silva, Anil Nair, John Patel, Maria Khan, Wei Garcia",Canada,"October 3, 2020",2018,TV-Y7,3 Seasons,"TV Comedies, Anime Series, Reality TV",A gripping tv show exploring themes of survival and identity in Canada.
s99,TV Show,The Lost Journey Chronicles 99,,"Maria Müller, Yuki Johnson, Priya Patel, Wei Johnson, Maria Garcia",United States,"June 17, 2026",2022,TV-PG,5 Seasons,"Kids' TV, Reality TV",A gripping tv show exploring themes of survival and identity in United States.
s100,Movie,The Eternal Rebellion 100,,"Fatima Müller, Hana Costa, Aisha Johnson, Raj Rossi, Yuki Müller, Yuki Rossi, Carlos Costa",,"June 27, 2021",2020,R,142 min,Dramas,A gripping movie exploring themes of survival and identity in South Korea.
s101,Movie,The Wild Horizon 101,Min Tanaka,"Maria Lee, David Park, Sara Silva, Maria Costa, Sara Patel",Spain,"May 15, 2026",2024,TV-G,79 min,"Dramas, Action & Adventure, Children & Family Movies",A gripping movie exploring themes of survival and identity in Spain.
s102,TV Show,The Forgotten Empire 102,,"John Kumar, Yuki Silva, Aisha Tanaka, Wei Nair",United Kingdom,"June 8, 2025",2022,TV-MA,8 Seasons,"Anime Series, Kids' TV",A gripping tv show exploring themes of survival and identity in United Kingdom.
s103,Movie,The Hidden Dreams 103,Min Rossi,"Elena Kumar, Priya Silva, Min Tanaka, Hana Johnson, Sara Kumar",,"June 7, 2018",2017,TV-G,167 min,Children & Family Movies,A gripping movie exploring themes of survival and identity in India.
s104,TV Show,The Wild Kingdom 104,,"Fatima Park, Sara Costa, Tom Lee, Anil Silva",South Korea,"August 20, 2021",2021,TV-14,8 Seasons,"TV Dramas, TV Comedies, TV Action & Adventure",A gripping tv show exploring themes of survival and identity in South Korea.
s105,Movie,The Hidden Shadows 105,Fatima Nair,"John Garcia, John Silva, Sara Costa, David Patel, Sara Costa, Maria Tanaka, Tom Patel",United States,"June 18, 2015",2014,PG,106 min,Thrillers,A gripping movie exploring themes of survival and identity in United States.
s106,TV Show,The Secret Shadows 106,,"David Garcia, Tom Johnson, Yuki Johnson, David Patel, Elena Park",South Korea,"January 5, 2021",2021,TV-MA,6 Seasons,"Anime Series, Crime TV Shows, Reality TV",A gripping tv show exploring themes of survival and identity in South Korea.
s107,TV Show,The Lost Horizon 107,,"Carlos Park, Anil Johnson, Elena Garcia, Tom Garcia, Carlos Kumar",Canada,"June 11, 2018",2015,TV-14,2 Seasons,"Docuseries, TV Dramas, Anime Series",A gripping tv show exploring themes of survival and identity in Canada.
s108,TV Show,The Dark Memory 108,,"Aisha Patel, Elena Nair, Anil Park, Maria Patel",Italy,"April 1, 2016",2015,PG-13,8 Seasons,"Crime TV Shows, TV Action & Adventure",A gripping tv show exploring themes of survival and identity in Italy.
s109,Movie,The Golden Empire 109,David Patel,"Fatima Johnson, Elena Tanaka, Carlos Khan, Yuki Tanaka, Yuki Costa",Australia,"August 17, 2021",2021,TV-14,118 min,"Action & Adventure, Children & Family Movies",A gripping movie exploring themes of survival and identity in Australia.
s110,Movie,The Hidden Dreams 110,Fatima Khan,"Tom Silva, Sara Costa, Maria Khan",United States,"April 23, 2013",2011,R,160 min,"Romantic Movies, Children & Family Movies",A gripping movie exploring themes of survival and identity in United States.
s111,Movie,The Last Rebellion 111,Fatima Patel,"Maria Smith, Carlos Tanaka, Anil Müller, Carlos Müller, Carlos Kumar",Spain,"December 3, 2026",2024,PG-13,114 min,"Horror Movies, Children & Family Movies",A gripping movie exploring themes of survival and identity in Spain.
s112,TV Show,The Wild Empire 112,,"Elena Rossi, Hana Costa, Yuki Lee, Yuki Müller, Anil Costa, Priya Müller",Mexico,"June 23, 2021",2017,TV-MA,8 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries",A gripping tv show exploring themes of survival and identity in Mexico.
