show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,primary_genre,duration_minutes,seasons
s16,TV Show,The Broken Dreams Chronicles 16,Unknown,"Anil Johnson, Priya Silva, David Khan, Hana Müller",Germany,28-11-2014,2012,R,4 Seasons,TV Mysteries,A gripping tv show exploring themes of survival and identity in Germany.,2014,November,TV Mysteries,,4
s17,TV Show,The Wild Empire 17,Unknown,"John Smith, Hana Patel, Fatima Garcia, Sara Smith, Carlos Lee, Yuki Garcia",Mexico,05-07-2020,2020,TV-MA,5 Seasons,"TV Comedies, TV Dramas",A gripping tv show exploring themes of survival and identity in Mexico.,2020,July,TV Comedies,,5
s18,Movie,The Eternal Memory 18,John Garcia,"John Smith, Maria Khan, Yuki Johnson, Hana Park, David Tanaka",India,20-05-2026,2023,TV-14,173 min,"Independent Movies, Dramas, Horror Movies",A gripping movie exploring themes of survival and identity in India.,2026,May,Independent Movies,173,
s19,Movie,The Lost Promise 19,Fatima Kumar,"David Costa, Maria Müller, Fatima Garcia",India,17-05-2026,2025,PG-13,132 min,"Dramas, Comedies",A gripping movie exploring themes of survival and identity in India.,2026,May,Dramas,132,
s20,Movie,The Golden City 20,Maria Patel,"Sara Johnson, Maria Silva, Maria Kumar",Germany,23-09-2024,2020,PG-13,124 min,"Dramas, Comedies, Independent Movies",A gripping movie exploring themes of survival and identity in Germany.,2024,September,Dramas,124,
s21,Movie,The Lost City 21,Aisha Johnson,"Carlos Nair, Wei Costa, Wei Silva, Raj Garcia",India,12-01-2018,2016,TV-14,96 min,"Documentaries, Comedies, Romantic Movies",A gripping movie exploring themes of survival and identity in India.,2018,January,Documentaries,96,
s22,Movie,The Golden Kingdom 22,John Silva,"Elena Tanaka, Hana Nair, Min Lee",South Korea,26-07-2017,2015,TV-14,155 min,"Documentaries, Horror Movies, Action & Adventure",A gripping movie exploring themes of survival and identity in South Korea.,2017,July,Documentaries,155,
s23,TV Show,The Golden Shadows Chronicles 23,Unknown,"Sara Müller, Tom Müller, David Kumar, John Khan, Wei Johnson",United States,01-04-2013,2012,TV-MA,4 Seasons,"Docuseries, TV Comedies",A gripping tv show exploring themes of survival and identity in United States.,2013,April,Docuseries,,4
s24,TV Show,The Last Empire 24,Unknown,"Hana Khan, Anil Park, Aisha Kumar, Hana Lee, Aisha Smith, David Johnson",Germany,20-02-2024,2022,TV-14,7 Seasons,"Romantic TV Shows, TV Action & Adventure, TV Comedies",A gripping tv show exploring themes of survival and identity in Germany.,2024,February,Romantic TV Shows,,7
s25,Movie,The Forgotten Journey 25,Maria Tanaka,"Tom Müller, Wei Johnson, Yuki Silva, Raj Khan, Yuki Tanaka, Aisha Costa",India,17-05-2026,2024,TV-MA,109 min,"Thrillers, Romantic Movies, Sci-Fi & Fantasy",A gripping movie exploring themes of survival and identity in India.,2026,May,Thrillers,109,
s26,Movie,The Golden Kingdom 26,Wei Müller,"Yuki Patel, David Smith, Carlos Müller",Brazil,11-11-2021,2017,PG,129 min,"Children & Family Movies, Documentaries",A gripping movie exploring themes of survival and identity in Brazil.,2021,November,Children & Family Movies,129,
s27,TV Show,The Last Rebellion Chronicles 27,Unknown,"Priya Rossi, Aisha Müller, Hana Park, Tom Rossi, Tom Tanaka, Maria Müller, Raj Costa",United States,05-04-2024,2020,TV-14,1 Season,Anime Series,A gripping tv show exploring themes of survival and identity in United States.,2024,April,Anime Series,,1
s28,TV Show,The Secret Legacy Chronicles 28,Unknown,"Min Müller, David Costa, Min Johnson, Aisha Nair",United States,06-04-2019,2017,TV-MA,8 Season,"Kids' TV, TV Comedies, Anime Series",A gripping tv show exploring themes of survival and identity in United States.,2019,April,Kids' TV,,8
s29,Movie,The Silent Kingdom 29,Fatima Costa,"Elena Müller, Carlos Khan, Min Smith, Yuki Tanaka, Fatima Lee, David Patel, Priya Garcia",India,28-12-2017,2012,TV-G,130 min,"Horror Movies, Documentaries",A gripping movie exploring themes of survival and identity in India.,2017,December,Horror Movies,130,
s30,Movie,The Forgotten Rebellion 30,Min Silva,"Hana Nair, Aisha Silva, Raj Nair",United Kingdom,23-07-2018,2018,NR,89 min,"Documentaries, Comedies, Thrillers",A gripping movie exploring themes of survival and identity in United Kingdom.,2018,July,Documentaries,89,
s31,Movie,The Silent Promise 31,Carlos Rossi,"Fatima Silva, Elena Kumar, Tom Lee, Tom Park",Turkey,01-08-2021,2019,TV-14,115 min,"Thrillers, Sci-Fi & Fantasy",A gripping movie exploring themes of survival and identity in Turkey.,2021,August,Thrillers,115,
s32,TV Show,The Endless Dreams Chronicles 32,Unknown,"Maria Nair, Min Garcia, Anil Khan, Tom Lee, Hana Rossi, David Lee",United States,20-03-2020,2015,NR,1 Seasons,"TV Mysteries, TV Dramas, TV Comedies",A gripping tv show exploring themes of survival and identity in United States.,2020,March,TV Mysteries,,1
s33,Movie,The Silent Kingdom 33,Unknown,"Anil Lee, Carlos Müller, Priya Costa, Anil Costa, Raj Tanaka, Hana Nair, Raj Johnson",Japan,09-07-2023,2023,PG-13,176 min,Children & Family Movies,A gripping movie exploring themes of survival and identity in Japan.,2023,July,Children & Family Movies,176,
s34,Movie,The Forgotten Memory 34,Min Park,"Sara Garcia, John Costa, Wei Khan, John Johnson, Raj Khan",Japan,16-03-2022,2022,TV-MA,155 min,Sci-Fi & Fantasy,A gripping movie exploring themes of survival and identity in Japan.,2022,March,Sci-Fi & Fantasy,155,
s35,Movie,The Endless Promise 35,Carlos Smith,"John Costa, Anil Lee, Aisha Müller, Sara Smith, David Kumar",South Korea,13-07-2025,2024,TV-MA,161 min,Comedies,A gripping movie exploring themes of survival and identity in South Korea.,2025,July,Comedies,161,
s36,Movie,The Forgotten Memory 36,Fatima Johnson,"Elena Rossi, Aisha Nair, Fatima Lee, Carlos Nair, Priya Khan, Min Tanaka, Min Johnson",United States,14-02-2023,2022,TV-Y7,116 min,"Children & Family Movies, Action & Adventure, Thrillers",A gripping movie exploring themes of survival and identity in United States.,2023,February,Children & Family Movies,116,
s37,Movie,The Endless Promise 37,Sara Costa,"David Khan, Fatima Patel, Raj Patel, Hana Smith, Carlos Park",United Kingdom,11-07-2026,2024,TV-MA,73 min,"Romantic Movies, Action & Adventure",A gripping movie exploring themes of survival and identity in United Kingdom.,2026,July,Romantic Movies,73,
s38,TV Show,The Dark Promise Chronicles 38,Unknown,"Yuki Tanaka, Tom Park, Carlos Khan",Mexico,25-09-2022,2017,NR,4 Seasons,"Anime Series, TV Mysteries, TV Dramas",A gripping tv show exploring themes of survival and identity in Mexico.,2022,September,Anime Series,,4
s39,Movie,The Broken Empire 39,Min Khan,"Fatima Tanaka, John Park, Hana Lee, John Park, Wei Tanaka",United States,17-09-2026,2025,TV-Y,114 min,"Independent Movies, Romantic Movies",A gripping movie exploring themes of survival and identity in United States.,2026,September,Independent Movies,114,
s40,Movie,The Silent Memory 40,Yuki Tanaka,"Wei Khan, Raj Park, Maria Khan, Anil Kumar, Yuki Park",India,09-08-2020,2019,PG,162 min,"Independent Movies, Horror Movies, Comedies",A gripping movie exploring themes of survival and identity in India.,2020,August,Independent Movies,162,
s41,Movie,The Forgotten Dreams 41,Wei Kumar,"Elena Smith, Priya Silva, Elena Smith, Anil Garcia, Maria Costa",Brazil,04-08-2024,2024,TV-MA,71 min,"Horror Movies, Children & Family Movies, Independent Movies",A gripping movie exploring themes of survival and identity in Brazil.,2024,August,Horror Movies,71,
s42,TV Show,The Silent Kingdom Chronicles 42,Unknown,"Min Khan, Aisha Khan, Anil Johnson, John Costa, Hana Müller, Hana Khan",France,08-02-2012,2008,R,2 Seasons,"TV Mysteries, Kids' TV, TV Action & Adventure",A gripping tv show exploring themes of survival and identity in France.,2012,February,TV Mysteries,,2
s43,Movie,The Eternal Kingdom 43,Elena Khan,"Carlos Khan, Yuki Park, Min Smith",United States,18-03-2023,2021,TV-14,79 min,Dramas,A gripping movie exploring themes of survival and identity in United States.,2023,March,Dramas,79,
s44,TV Show,The Forgotten Dreams Chronicles 44,Unknown,"Maria Khan, Maria Smith, Anil Garcia, Yuki Johnson",United States,26-05-2010,2009,TV-MA,4 Seasons,Reality TV,A gripping tv show exploring themes of survival and identity in United States.,2010,May,Reality TV,,4
s45,Movie,The Last Kingdom 45,Elena Rossi,"Anil Silva, David Johnson, Fatima Kumar",Spain,04-08-2022,2022,TV-PG,129 min,"Horror Movies, Thrillers, Sci-Fi & Fantasy",A gripping movie exploring themes of survival and identity in Spain.,2022,August,Horror Movies,129,
s46,Movie,The Last Legacy 46,Wei Rossi,"Min Khan, Wei Johnson, Aisha Müller, Elena Smith, Elena Lee, Aisha Lee, David Müller",Japan,27-11-2019,2017,TV-G,180 min,"Sci-Fi & Fantasy, Dramas, Horror Movies",A gripping movie exploring themes of survival and identity in Japan.,2019,November,Sci-Fi & Fantasy,180,
s47,Movie,The Wild Shadows 47,Anil Rossi,"David Khan, David Smith, Tom Nair",Brazil,14-06-2021,2020,TV-14,158 min,"Horror Movies, Thrillers",A gripping movie exploring themes of survival and identity in Brazil.,2021,June,Horror Movies,158,
s48,Movie,The Hidden Memory 48,Sara Johnson,"Min Costa, Anil Tanaka, Fatima Patel, Maria Khan, Min Park, Elena Smith",Unknown,28-11-2017,2016,TV-PG,139 min,"Thrillers, Dramas",A gripping movie exploring themes of survival and identity in United Kingdom.,2017,November,Thrillers,139,
s49,TV Show,The Secret Kingdom Chronicles 49,Unknown,"Aisha Smith, Carlos Nair, John Rossi, John Müller, Maria Rossi, Yuki Patel, Fatima Silva",United States,26-10-2026,2025,TV-Y,4 Seasons,"Reality TV, TV Dramas",A gripping tv show exploring themes of survival and identity in United States.,2026,October,Reality TV,,4
s50,TV Show,The Wild Promise 50,Unknown,"Maria Nair, Priya Khan, Aisha Lee, Fatima Nair, Raj Khan, Yuki Nair, Elena Nair",Egypt,18-08-2019,2018,TV-PG,3 Seasons,TV Mysteries,A gripping tv show exploring themes of survival and identity in Egypt.,2019,August,TV Mysteries,,3
s51,TV Show,The Forgotten City 51,Unknown,"Tom Tanaka, Aisha Kumar, David Park, Elena Park, Tom Silva, Maria Rossi, Anil Garcia",United States,11-06-2020,2018,TV-MA,7 Seasons,"Kids' TV, TV Mysteries",A gripping tv show exploring themes of survival and identity in United States.,2020,June,Kids' TV,,7
s52,Movie,The Forgotten Empire 52,Raj Park,"Aisha Nair, Maria Smith, Elena Costa, Fatima Lee",India,28-02-2021,2019,R,178 min,"Comedies, Independent Movies",A gripping movie exploring themes of survival and identity in India.,2021,February,Comedies,178,
s53,Movie,The Golden Shadows 53,Elena Nair,"Anil Johnson, Priya Tanaka, Yuki Tanaka, Priya Silva, John Costa, John Rossi, Wei Park",United States,21-07-2024,2022,TV-14,80 min,"Independent Movies, Thrillers",A gripping movie exploring themes of survival and identity in United States.,2024,July,Independent Movies,80,
s54,Movie,The Eternal Kingdom 54,Aisha Garcia,"Aisha Johnson, Wei Garcia, Wei Smith, Tom Johnson",United States,11-01-2021,2018,R,171 min,Horror Movies,A gripping movie exploring themes of survival and identity in United States.,2021,January,Horror Movies,171,
s55,TV Show,The Lost Dreams Chronicles 55,Unknown,"Raj Costa, Min Khan, Wei Smith, Min Lee, Yuki Müller",India,19-08-2020,2018,TV-14,3 Seasons,"Docuseries, Anime Series",A gripping tv show exploring themes of survival and identity in India.,2020,August,Docuseries,,3
s56,Movie,The Lost Promise 56,John Tanaka,"Sara Johnson, Yuki Park, Yuki Kumar, Tom Khan, Raj Johnson, Anil Johnson",France,28-08-2015,2013,TV-14,108 min,Thrillers,A gripping movie exploring themes of survival and identity in France.,2015,August,Thrillers,108,
s57,TV Show,The Dark Empire Chronicles 57,Unknown,"Fatima Müller, Maria Müller, John Müller, Anil Khan, Min Kumar, Sara Park, Maria Smith",Japan,25-05-2023,2022,TV-14,4 Seasons,Kids' TV,A gripping tv show exploring themes of survival and identity in Japan.,2023,May,Kids' TV,,4
s58,Movie,The Broken Memory 58,Sara Patel,"Fatima Nair, Wei Khan, Elena Costa, Yuki Park, David Costa, John Rossi, Priya Garcia",United States,06-07-2023,2021,TV-14,95 min,Independent Movies,A gripping movie exploring themes of survival and identity in United States.,2023,July,Independent Movies,95,
s59,Movie,The Wild City 59,Unknown,"John Rossi, Sara Müller, Fatima Johnson, Tom Nair, Sara Smith, Carlos Rossi, Raj Johnson",Italy,22-12-2026,2024,TV-MA,120 min,"Romantic Movies, Comedies, Thrillers",A gripping movie exploring themes of survival and identity in Italy.,2026,December,Romantic Movies,120,
s60,Movie,The Secret City 60,Yuki Müller,"John Garcia, Anil Kumar, Yuki Rossi, John Smith, Carlos Patel, Maria Silva",Australia,08-10-2020,2019,TV-PG,152 min,Children & Family Movies,A gripping movie exploring themes of survival and identity in Australia.,2020,October,Children & Family Movies,152,
s61,TV Show,The Eternal City Chronicles 61,Unknown,"Aisha Khan, Anil Park, Sara Tanaka, Min Rossi, Carlos Nair, Sara Smith, Sara Patel",United States,24-11-2023,2022,PG,7 Seasons,"TV Comedies, Anime Series",A gripping tv show exploring themes of survival and identity in United States.,2023,November,TV Comedies,,7
s62,Movie,The Wild Kingdom 62,Min Smith,"Raj Kumar, David Tanaka, Maria Costa, Hana Smith",Unknown,13-01-2025,2022,PG-13,105 min,Comedies,A gripping movie exploring themes of survival and identity in India.,2025,January,Comedies,105,
s63,TV Show,The Eternal Shadows 63,Unknown,"Fatima Nair, Maria Garcia, Fatima Costa",United Kingdom,07-10-2018,2018,TV-14,4 Seasons,TV Mysteries,A gripping tv show exploring themes of survival and identity in United Kingdom.,2018,October,TV Mysteries,,4
s64,Movie,The Last Promise 64,Wei Khan,"Maria Park, Aisha Patel, John Park",Spain,01-03-2022,2017,TV-G,115 min,Sci-Fi & Fantasy,A gripping movie exploring themes of survival and identity in Spain.,2022,March,Sci-Fi & Fantasy,115,
s65,TV Show,The Dark Journey Chronicles 65,Unknown,"Anil Park, Yuki Rossi, Raj Kumar, Elena Nair, Tom Silva, John Rossi, Min Smith",South Korea,25-08-2024,2019,TV-Y7,6 Seasons,"Reality TV, Kids' TV",A gripping tv show exploring themes of survival and identity in South Korea.,2024,August,Reality TV,,6
s66,Movie,The Endless Empire 66,Unknown,"Yuki Rossi, Aisha Smith, John Nair, Hana Silva, Min Tanaka, Aisha Lee, Min Silva",United States,03-03-2017,2013,R,86 min,"Sci-Fi & Fantasy, Independent Movies",A gripping movie exploring themes of survival and identity in United States.,2017,March,Sci-Fi & Fantasy,86,
s67,Movie,The Silent Storm 67,Elena Smith,"Priya Smith, Aisha Smith, Sara Costa",Egypt,11-02-2024,2023,R,124 min,"Horror Movies, Romantic Movies",A gripping movie exploring themes of survival and identity in Egypt.,2024,February,Horror Movies,124,
s68,Movie,The Wild Kingdom 68,Aisha Nair,"Yuki Johnson, Yuki Lee, John Johnson",United States,19-01-2020,2019,TV-MA,141 min,"Romantic Movies, Comedies, Thrillers",A gripping movie exploring themes of survival and identity in United States.,2020,January,Romantic Movies,141,
s69,Movie,The Lost Dreams 69,Sara Smith,"Carlos Costa, Aisha Nair, Raj Johnson, Fatima Kumar, Wei Khan",Unknown,22-03-2014,2013,TV-MA,131 min,Comedies,A gripping movie exploring themes of survival and identity in United States.,2014,March,Comedies,131,
s70,Movie,The Dark Dreams 70,Tom Smith,"Raj Smith, Hana Silva, Aisha Rossi, David Garcia",Spain,12-06-2024,2023,TV-MA,70 min,Action & Adventure,A gripping movie exploring themes of survival and identity in Spain.,2024,June,Action & Adventure,70,
s71,Movie,The Golden Kingdom 71,Anil Müller,"Fatima Rossi, Aisha Rossi, Min Silva",India,11-12-2023,2022,TV-Y,169 min,"Sci-Fi & Fantasy, Comedies, Dramas",A gripping movie exploring themes of survival and identity in India.,2023,December,Sci-Fi & Fantasy,169,
s72,Movie,The Silent Dreams 72,Elena Patel,"Anil Tanaka, Tom Johnson, Anil Kumar, Hana Khan, Hana Costa",United States,04-09-2025,2025,TV-PG,114 min,"Comedies, Horror Movies",A gripping movie exploring themes of survival and identity in United States.,2025,September,Comedies,114,
s73,Movie,The Dark Journey 73,Wei Garcia,"Carlos Patel, Sara Smith, Tom Nair, Anil Silva, Raj Rossi, Priya Nair",France,11-05-2025,2025,TV-MA,85 min,Children & Family Movies,A gripping movie exploring themes of survival and identity in France.,2025,May,Children & Family Movies,85,
s74,Movie,The Golden Empire 74,David Garcia,"Min Nair, Sara Smith, Aisha Nair, John Tanaka, Aisha Johnson, Tom Patel, Priya Silva",Egypt,19-07-2021,2021,TV-PG,121 min,"Thrillers, Horror Movies, Comedies",A gripping movie exploring themes of survival and identity in Egypt.,2021,July,Thrillers,121,
s75,Movie,The Eternal Horizon 75,John Patel,"Hana Costa, Sara Lee, Maria Tanaka, John Garcia, Fatima Tanaka, Wei Johnson, Maria Costa",Australia,08-06-2024,2023,PG,112 min,Comedies,A gripping movie exploring themes of survival and identity in Australia.,2024,June,Comedies,112,
s76,Movie,The Hidden City 76,David Nair,"Maria Rossi, Priya Rossi, Min Müller, Yuki Costa, Fatima Johnson",United States,25-03-2018,2018,TV-MA,150 min,"Children & Family Movies, Sci-Fi & Fantasy",A gripping movie exploring themes of survival and identity in United States.,2018,March,Children & Family Movies,150,
s77,Movie,The Forgotten Promise 77,Unknown,"Priya Müller, Priya Johnson, Tom Rossi, Anil Rossi, Hana Lee",India,03-09-2026,2022,R,109 min,"Children & Family Movies, Dramas",A gripping movie exploring themes of survival and identity in India.,2026,September,Children & Family Movies,109,
s78,Movie,The Endless Rebellion 78,Priya Patel,"Anil Tanaka, Min Rossi, Wei Lee, Sara Khan",United States,05-09-2025,2020,R,77 min,"Comedies, Romantic Movies",A gripping movie exploring themes of survival and identity in United States.,2025,September,Comedies,77,
s79,Movie,The Last Journey 79,Unknown,"Tom Khan, Fatima Park, Maria Lee",Mexico,22-06-2024,2023,TV-G,146 min,Romantic Movies,A gripping movie exploring themes of survival and identity in Mexico.,2024,June,Romantic Movies,146,
s80,Movie,The Silent Kingdom 80,Priya Khan,"Tom Müller, David Nair, Maria Müller, Priya Müller, Aisha Patel, Sara Kumar, Sara Khan",India,05-11-2022,2021,NR,114 min,"Thrillers, Action & Adventure",A gripping movie exploring themes of survival and identity in India.,2022,November,Thrillers,114,
s81,Movie,The Silent Legacy 81,Unknown,"John Patel, Anil Müller, David Costa, Maria Johnson, Tom Garcia",India,25-06-2026,2023,TV-Y,132 min,Documentaries,A gripping movie exploring themes of survival and identity in India.,2026,June,Documentaries,132,
s82,Movie,The Broken City 82,Unknown,"Carlos Rossi, Yuki Costa, Min Tanaka, Carlos Khan, Elena Nair",United States,25-12-2024,2022,PG-13,149 min,Children & Family Movies,A gripping movie exploring themes of survival and identity in United States.,2024,December,Children & Family Movies,149,
s83,Movie,The Last Empire 83,Aisha Garcia,"Maria Nair, Fatima Kumar, Elena Nair, Sara Patel",Brazil,19-11-2024,2020,TV-14,126 min,"Horror Movies, Thrillers",A gripping movie exploring themes of survival and identity in Brazil.,2024,November,Horror Movies,126,
s84,TV Show,The Endless Shadows Chronicles 84,Unknown,"Min Patel, Maria Nair, Aisha Smith, Carlos Nair, Min Lee",India,28-09-2012,2008,PG,2 Seasons,Crime TV Shows,A gripping tv show exploring themes of survival and identity in India.,2012,September,Crime TV Shows,,2
s85,Movie,The Hidden Dreams 85,Sara Tanaka,"David Smith, David Costa, Maria Garcia",Egypt,17-07-2023,2022,TV-PG,117 min,Thrillers,A gripping movie exploring themes of survival and identity in Egypt.,2023,July,Thrillers,117,
s86,Movie,The Golden Kingdom 86,Raj Smith,"Fatima Tanaka, Maria Patel, Aisha Smith",United Kingdom,23-08-2022,2018,TV-PG,176 min,Children & Family Movies,A gripping movie exploring themes of survival and identity in United Kingdom.,2022,August,Children & Family Movies,176,
s87,Movie,The Silent Dreams 87,Min Smith,"Elena Johnson, Raj Müller, Carlos Park",Egypt,04-05-2025,2023,TV-MA,76 min,Thrillers,A gripping movie exploring themes of survival and identity in Egypt.,2025,May,Thrillers,76,
s88,Movie,The Hidden City 88,Priya Patel,"Priya Patel, Raj Silva, Elena Kumar, Tom Lee, Fatima Park",United States,01-07-2022,2021,PG-13,148 min,"Documentaries, Thrillers",A gripping movie exploring themes of survival and identity in United States.,2022,July,Documentaries,148,
s89,Movie,The Golden Kingdom 89,Unknown,"David Nair, Wei Nair, Min Park, Elena Müller, Wei Costa, Maria Smith, Min Kumar",South Korea,12-02-2026,2025,PG-13,100 min,"Comedies, Romantic Movies, Action & Adventure",A gripping movie exploring themes of survival and identity in South Korea.,2026,February,Comedies,100,
s90,Movie,The Dark Rebellion 90,Tom Nair,"Elena Khan, Anil Costa, Hana Khan, Sara Nair, Anil Nair, David Khan, John Costa",United States,26-01-2016,2013,TV-MA,95 min,Romantic Movies,A gripping movie exploring themes of survival and identity in United States.,2016,January,Romantic Movies,95,
s91,TV Show,The Last Horizon 91,Unknown,"Sara Costa, Fatima Costa, Priya Park, Aisha Smith, Aisha Johnson, Wei Patel",South Korea,24-07-2014,2013,TV-MA,8 Seasons,"Crime TV Shows, Anime Series",A gripping tv show exploring themes of survival and identity in South Korea.,2014,July,Crime TV Shows,,8
s92,Movie,The Silent Journey 92,Min Lee,"Anil Park, Sara Johnson, Aisha Khan, Anil Smith, Tom Lee, Wei Kumar",Mexico,22-06-2024,2024,TV-Y7,107 min,"Children & Family Movies, Thrillers",A gripping movie exploring themes of survival and identity in Mexico.,2024,June,Children & Family Movies,107,
s93,TV Show,The Dark City 93,Unknown,"Sara Lee, Tom Johnson, Anil Johnson, Maria Müller",Spain,26-11-2020,2019,PG-13,8 Season,TV Comedies,A gripping tv show exploring themes of survival and identity in Spain.,2020,November,TV Comedies,,8
s94,Movie,The Last Dreams 94,Fatima Tanaka,"Raj Park, Wei Rossi, Tom Patel",India,25-08-2026,2024,TV-14,79 min,"Action & Adventure, Independent Movies, Romantic Movies",A gripping movie exploring themes of survival and identity in India.,2026,August,Action & Adventure,79,
s95,Movie,The Secret Horizon 95,Elena Tanaka,"Maria Nair, Priya Rossi, Wei Park",India,23-05-2022,2021,TV-MA,127 min,Sci-Fi & Fantasy,A gripping movie exploring themes of survival and identity in India.,2022,May,Sci-Fi & Fantasy,127,
s96,Movie,The Secret Shadows 96,Wei Park,"Sara Patel, Carlos Smith, Hana Costa, Maria Tanaka",Japan,28-11-2026,2023,TV-14,110 min,"Romantic Movies, Comedies, Horror Movies",A gripping movie exploring themes of survival and identity in Japan.,2026,November,Romantic Movies,110,
s97,Movie,The Endless Rebellion 97,Unknown,"Priya Khan, Tom Park, Elena Patel",Mexico,18-06-2019,2017,PG,143 min,"Children & Family Movies, Independent Movies",A gripping movie exploring themes of survival and identity in Mexico.,2019,June,Children & Family Movies,143,
s98,TV Show,The Lost Kingdom 98,Unknown,"Sara Garcia, Wei Costa, Maria Silva, Anil Nair, John Patel, Maria Khan, Wei Garcia",Canada,03-10-2020,2018,TV-Y7,3 Seasons,"TV Comedies, Anime Series, Reality TV",A gripping tv show exploring themes of survival and identity in Canada.,2020,October,TV Comedies,,3
s99,TV Show,The Lost Journey Chronicles 99,Unknown,"Maria Müller, Yuki Johnson, Priya Patel, Wei Johnson, Maria Garcia",United States,17-06-2026,2022,TV-PG,5 Seasons,"Kids' TV, Reality TV",A gripping tv show exploring themes of survival and identity in United States.,2026,June,Kids' TV,,5
